City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,-27.96,100,96,1.11,RU,1699653124
1,iqaluit,63.7506,-68.5145,-8.15,62,100,3.09,CA,1699653105
2,bethel,41.3712,-73.414,9.97,61,100,0.45,US,1699653627
3,gadzhiyevo,69.2551,33.3362,-8.33,94,30,4.06,RU,1699653155
4,rio hato,8.3833,-80.1667,30.75,69,40,4.12,PA,1699653627
5,waitangi,-43.9535,-176.5597,11.01,83,100,0.89,NZ,1699653627
6,sao tome,0.3365,6.7273,26.03,84,100,3.47,ST,1699653637
7,fort mcmurray,56.7268,-111.381,3.77,70,0,4.63,CA,1699653611
8,adamstown,-25.066,-130.1015,22.88,80,0,5.69,PN,1699653638
9,grytviken,-54.2811,-36.5092,2.29,87,70,4.79,GS,1699653558
10,margaret river,-33.95,115.0667,11.39,86,8,5.45,AU,1699652992
11,barra de santo antonio,-9.4047,-35.5072,24.6,85,9,2.25,BR,1699653650
12,klyuchi,52.2667,79.1667,3.44,88,90,4.09,RU,1699653108
13,zhangjiakou shi xuanhua qu,40.6103,115.0447,-4.7,34,89,3.78,CN,1699653651
14,cockburn town,21.4612,-71.1419,28.43,77,0,10.39,TC,1699653362
15,ribeira grande,38.5167,-28.7,21.22,94,75,12.07,PT,1699653020
16,labrador city,52.9463,-66.9114,-5.05,74,100,3.09,CA,1699653171
17,dunay,42.8803,132.3375,-3.49,61,6,11.12,RU,1699653653
18,san vicente,-26.6167,-54.1333,25.46,73,13,1.77,AR,1699653654
19,port macquarie,-31.4333,152.9167,22.72,65,7,2.95,AU,1699653654
20,hawaiian paradise park,19.5933,-154.9731,27.15,79,100,2.57,US,1699653094
21,bredasdorp,-34.5322,20.0403,18.02,76,85,2.23,ZA,1699653139
22,oodweyne,9.4092,45.064,22.25,42,100,3.25,SO,1699653655
23,badger,64.8,-147.5333,-6.47,90,100,1.54,US,1699653201
24,rio verde de mato grosso,-18.9181,-54.8442,36.08,19,78,2.09,BR,1699653655
25,miles city,46.4083,-105.8406,8.73,35,99,1.4,US,1699653656
26,remire-montjoly,4.9167,-52.2667,27.68,80,23,6.67,GF,1699653167
27,saratoga springs,43.0831,-73.7846,9.58,56,41,1.34,US,1699653546
28,tura,25.5198,90.2201,17.31,91,0,1.62,IN,1699653044
29,ilulissat,69.2167,-51.1,-5.99,53,100,8.75,GL,1699653016
30,zagora,30.3484,-5.8365,20.88,23,5,0.59,MA,1699653657
31,sterling,39.0062,-77.4286,7.55,87,40,2.06,US,1699653658
32,berezovyy,51.6667,135.7,-8.57,80,83,0.32,RU,1699653240
33,saint-pierre,-21.3393,55.4781,25.32,73,75,2.06,RE,1699653658
